Frame,Number of People in Crowd
8,1
9,7
9,1
10,2
10,2
10,3
10,7
10,4
10,6
10,6
10,6
10,4
10,4
10,6
10,6
10,4
10,4
10,4
10,1
10,2
11,2
11,2
11,4
11,3
11,7
11,4
11,6
11,6
11,6
11,4
11,4
11,6
11,6
11,4
11,4
11,4
11,1
11,2
11,3
12,2
12,2
12,4
12,3
12,7
12,4
12,6
12,6
12,6
12,4
12,4
12,6
12,6
12,4
12,4
12,4
12,1
12,2
12,3
13,2
13,2
13,4
12,3
13,7
13,4
13,6
13,6
13,6
13,4
13,4
13,6
12,6
13,4
13,4
13,4
13,1
13,2
13,3
14,2
14,1
14,2
14,4
12,3
14,7
14,4
14,6
14,6
14,6
14,4
14,4
14,6
12,6
14,4
14,4
13,4
14,1
14,2
14,3
15,2
15,1
15,2
15,4
15,3
14,7
15,4
15,6
15,6
15,6
15,4
14,4
15,6
12,6
15,4
15,4
13,4
15,1
15,2
15,3
16,2
16,1
16,2
16,4
16,3
14,7
16,4
16,6
16,6
16,6
15,4
14,4
16,6
12,6
16,4
16,4
13,4
16,1
16,2
16,3
17,2
16,1
17,2
17,4
17,3
17,7
17,4
17,6
16,6
17,6
15,4
14,4
16,6
12,6
17,4
17,4
13,4
17,1
17,2
17,3
17,4
17,2
18,1
18,2
18,4
18,3
18,7
18,4
18,6
16,6
18,6
15,4
14,4
16,6
12,6
17,4
18,4
13,4
18,1
18,2
18,3
18,3
18,4
17,2
19,1
19,2
19,4
19,3
19,7
19,4
19,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
19,4
13,4
19,1
19,2
19,3
19,3
19,1
19,4
17,2
20,1
20,2
20,4
20,3
20,7
20,4
20,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
20,4
13,4
20,1
20,2
20,3
20,3
20,1
19,4
17,2
21,1
21,2
21,4
21,3
21,7
21,4
21,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
21,4
13,4
21,1
21,2
21,3
21,3
21,1
19,4
22,2
22,1
22,2
22,4
22,3
22,7
22,4
22,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
22,1
22,2
22,3
22,3
22,1
19,4
22,6
23,2
23,1
23,2
22,4
23,3
23,7
23,4
23,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
22,1
23,2
23,3
22,3
23,1
23,1
19,4
23,6
24,2
24,1
24,2
24,4
24,3
23,7
24,4
24,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
22,1
24,2
23,3
22,3
24,1
24,1
19,4
24,2
24,6
24,4
25,2
24,1
25,2
25,4
25,3
23,7
25,4
25,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
22,1
25,2
23,3
22,3
25,1
25,1
19,4
25,2
24,6
25,4
25,4
26,2
24,1
26,2
26,4
26,3
23,7
26,4
26,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
22,1
26,2
23,3
22,3
26,2
26,1
26,1
19,4
26,2
24,6
26,4
26,4
26,4
26,4
27,2
27,1
27,2
27,4
27,3
23,7
27,4
27,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
22,1
26,2
23,3
22,3
27,2
26,1
27,1
19,4
27,2
24,6
26,4
27,4
27,4
27,4
27,4
27,2
28,1
28,2
27,4
28,3
23,7
28,4
27,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
22,1
26,2
28,3
22,3
28,2
26,1
28,1
19,4
27,2
24,6
26,4
28,4
28,4
28,4
27,4
27,2
29,1
29,2
29,4
29,3
23,7
29,4
27,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
29,1
26,2
29,3
22,3
29,2
26,1
28,1
19,4
27,2
24,6
26,4
29,4
29,4
29,4
27,4
29,4
29,8
27,2
30,1
30,2
30,4
30,3
23,7
30,4
27,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
30,1
26,2
29,3
22,3
30,2
30,1
26,1
28,1
19,4
27,2
24,6
26,4
30,4
29,4
30,4
27,4
30,4
29,8
27,2
31,1
31,2
31,4
31,3
23,7
30,4
27,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
31,1
26,2
29,3
22,3
31,2
30,1
31,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
31,4
29,8
31,6
27,2
32,1
32,2
31,4
32,3
23,7
32,4
27,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
32,1
26,2
29,3
22,3
31,2
32,1
31,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
32,4
29,8
32,6
32,6
27,2
33,1
33,2
33,4
32,3
23,7
32,4
27,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
33,1
26,2
29,3
22,3
33,2
33,1
31,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
33,6
33,2
27,2
34,1
34,2
34,4
32,3
23,7
32,4
27,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
34,1
34,2
29,3
22,3
33,2
34,1
31,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
34,6
34,2
27,2
35,1
35,2
35,4
32,3
23,7
32,4
27,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
35,1
34,2
29,3
22,3
35,2
35,1
31,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
35,6
35,2
35,4
27,2
36,1
36,2
36,4
32,3
23,7
32,4
27,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
36,1
34,2
29,3
22,3
36,2
35,1
31,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
36,6
36,2
36,4
36,4
27,2
36,1
37,2
37,4
32,3
23,7
32,4
37,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
37,1
37,2
29,3
22,3
37,2
35,1
31,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
37,6
37,2
37,4
37,4
37,7
27,2
36,1
38,2
38,4
38,3
23,7
32,4
37,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
38,1
38,2
29,3
22,3
38,2
35,1
38,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
38,6
38,2
38,4
37,4
38,7
27,2
36,1
39,2
39,4
38,3
23,7
32,4
37,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
39,1
39,2
29,3
22,3
39,2
35,1
39,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
39,6
39,2
39,4
37,4
38,7
39,4
39,6
27,2
36,1
40,2
40,4
38,3
23,7
32,4
37,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
40,1
40,2
29,3
22,3
40,2
35,1
39,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
40,6
40,2
39,4
37,4
38,7
40,4
40,6
27,2
36,1
41,2
41,4
38,3
23,7
32,4
37,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
41,1
41,2
29,3
22,3
41,2
35,1
39,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
41,6
41,2
39,4
37,4
38,7
40,4
41,6
41,5
41,4
27,2
36,1
42,2
42,4
38,3
23,7
32,4
37,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
42,1
41,2
29,3
22,3
42,2
35,1
39,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
42,6
42,2
39,4
37,4
38,7
40,4
42,6
42,5
42,6
42,4
42,6
42,6
43,2
36,1
43,2
43,4
38,3
23,7
32,4
43,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
43,1
41,2
29,3
22,3
43,2
35,1
39,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
42,6
43,2
39,4
37,4
38,7
40,4
43,6
43,5
43,6
43,4
43,6
43,6
43,4
44,2
36,1
44,2
43,4
44,3
23,7
32,4
44,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
44,1
41,2
29,3
22,3
44,2
35,1
39,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
44,6
44,2
39,4
37,4
38,7
40,4
44,6
44,5
44,6
44,4
44,6
44,6
44,4
45,2
36,1
45,2
43,4
44,3
23,7
32,4
45,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
45,1
41,2
29,3
22,3
45,2
35,1
39,1
28,1
19,4
27,2
24,6
26,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
45,6
45,2
39,4
37,4
38,7
40,4
44,6
45,5
45,6
45,4
45,6
44,6
45,4
46,2
36,1
46,2
43,4
44,3
23,7
32,4
46,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
46,1
41,2
29,3
22,3
46,2
35,1
39,1
28,1
19,4
27,2
24,6
46,4
31,4
29,4
30,4
27,4
33,4
29,8
32,6
46,6
46,2
39,4
37,4
38,7
40,4
44,6
46,5
46,6
46,4
46,6
44,6
46,4
47,2
36,1
47,2
47,4
44,3
23,7
32,4
47,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
47,1
41,2
29,3
22,3
47,2
47,2
35,1
39,1
28,1
19,4
27,2
24,6
47,4
31,4
29,4
30,4
47,1
27,4
33,4
29,8
32,6
46,6
47,2
47,4
37,4
38,7
40,4
44,6
47,5
47,6
47,4
47,6
44,6
46,4
47,2
47,4
48,2
36,1
48,2
48,4
44,3
23,7
32,4
47,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
48,1
48,2
29,3
22,3
48,2
48,2
35,1
48,1
28,1
19,4
27,2
24,6
48,4
31,4
29,4
30,4
48,1
27,4
33,4
29,8
32,6
46,6
47,2
48,4
37,4
38,7
40,4
44,6
48,5
48,6
48,4
48,6
44,6
46,4
48,2
47,4
49,2
36,1
49,2
49,4
44,3
23,7
32,4
47,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
49,1
49,2
29,3
22,3
49,2
49,2
35,1
49,1
28,1
19,4
27,2
24,6
49,4
31,4
29,4
30,4
49,1
27,4
33,4
29,8
32,6
46,6
47,2
49,4
37,4
38,7
40,4
44,6
49,5
49,6
49,4
48,6
44,6
46,4
49,2
47,4
49,3
50,2
36,1
50,2
49,4
50,3
23,7
32,4
47,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
50,1
49,2
29,3
22,3
50,2
50,2
35,1
49,1
28,1
19,4
27,2
24,6
50,4
31,4
29,4
30,4
50,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
50,5
50,6
50,4
48,6
44,6
46,4
50,2
47,4
49,3
50,2
36,1
51,2
51,4
51,3
23,7
32,4
47,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
51,1
51,2
29,3
22,3
50,2
50,2
35,1
49,1
28,1
19,4
27,2
24,6
51,4
31,4
29,4
30,4
50,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
51,5
51,6
51,4
48,6
44,6
46,4
51,2
47,4
49,3
52,2
36,1
52,2
52,4
52,3
23,7
32,4
47,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
52,1
51,2
29,3
22,3
52,2
52,2
35,1
49,1
28,1
19,4
27,2
24,6
52,4
31,4
29,4
30,4
50,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
52,6
51,4
48,6
44,6
46,4
52,2
47,4
49,3
53,2
36,1
53,2
52,4
53,3
23,7
32,4
47,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
53,1
53,2
29,3
22,3
52,2
53,2
35,1
49,1
28,1
19,4
27,2
24,6
52,4
31,4
29,4
30,4
53,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
53,6
51,4
48,6
44,6
46,4
53,2
47,4
49,3
54,2
36,1
54,2
52,4
54,3
23,7
32,4
54,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
54,1
54,2
29,3
22,3
52,2
54,2
35,1
49,1
28,1
19,4
27,2
24,6
54,4
31,4
29,4
30,4
54,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
54,2
47,4
49,3
54,4
54,3
55,2
36,1
55,2
52,4
55,3
23,7
32,4
55,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
55,1
55,2
29,3
22,3
52,2
55,2
35,1
49,1
28,1
19,4
27,2
24,6
54,4
31,4
29,4
30,4
55,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
55,2
47,4
49,3
54,4
55,3
56,2
36,1
56,2
52,4
56,3
23,7
32,4
56,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
56,1
56,2
29,3
22,3
52,2
55,2
35,1
49,1
28,1
19,4
27,2
24,6
54,4
31,4
29,4
30,4
56,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
56,2
47,4
49,3
54,4
56,3
56,5
57,2
36,1
57,2
57,4
57,3
23,7
32,4
57,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
57,1
57,2
29,3
22,3
52,2
55,2
35,1
49,1
28,1
19,4
27,2
24,6
54,4
31,4
29,4
30,4
57,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
57,2
47,4
49,3
57,3
54,4
57,3
57,5
57,1
57,2
57,6
57,4
58,2
36,1
58,2
58,4
58,3
23,7
32,4
58,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
58,1
57,2
29,3
22,3
58,2
55,2
35,1
49,1
58,1
19,4
27,2
24,6
54,4
31,4
29,4
30,4
58,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
58,2
47,4
49,3
58,3
54,4
57,3
58,5
58,1
58,2
58,6
58,4
58,5
58,2
36,1
59,2
58,4
58,3
23,7
32,4
59,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
59,1
57,2
29,3
22,3
59,2
55,2
35,1
49,1
59,1
19,4
27,2
24,6
54,4
31,4
29,4
30,4
59,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
59,2
47,4
49,3
59,3
54,4
57,3
58,5
59,1
59,2
59,6
59,4
59,5
59,3
60,2
36,1
60,2
58,4
58,3
23,7
32,4
60,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
60,1
60,2
29,3
22,3
59,2
55,2
35,1
49,1
59,1
19,4
60,1
27,2
24,6
54,4
31,4
29,4
30,4
60,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
60,2
47,4
49,3
59,3
54,4
57,3
58,5
60,1
60,2
59,6
60,4
60,5
60,3
60,2
60,2
36,1
61,2
58,4
58,3
23,7
32,4
61,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
61,1
61,2
29,3
22,3
59,2
55,2
35,1
61,1
59,1
19,4
61,1
27,2
24,6
54,4
31,4
29,4
30,4
61,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
61,2
47,4
49,3
59,3
54,4
57,3
58,5
61,1
61,2
59,6
61,4
61,5
61,3
61,2
61,3
60,2
36,1
62,2
58,4
58,3
23,7
32,4
61,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
62,1
62,2
29,3
22,3
59,2
55,2
35,1
62,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
62,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
62,2
47,4
49,3
59,3
54,4
57,3
58,5
62,1
62,2
59,6
62,4
62,5
62,3
62,2
62,3
62,4
60,2
36,1
63,2
58,4
58,3
23,7
32,4
61,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
63,1
63,2
29,3
22,3
59,2
55,2
35,1
63,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
63,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
62,2
47,4
49,3
59,3
54,4
57,3
58,5
63,1
63,2
59,6
63,4
63,5
62,3
63,2
63,3
63,4
60,2
36,1
64,2
58,4
58,3
23,7
32,4
61,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
64,1
64,2
29,3
22,3
59,2
55,2
35,1
64,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
64,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
64,2
47,4
49,3
59,3
54,4
57,3
58,5
64,1
64,2
59,6
64,4
64,5
62,3
64,2
64,3
64,4
64,4
64,6
60,2
36,1
65,2
58,4
58,3
23,7
32,4
61,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
65,1
65,2
29,3
65,3
59,2
55,2
35,1
65,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
65,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
65,2
47,4
49,3
59,3
54,4
57,3
58,5
64,1
65,2
59,6
65,4
65,5
62,3
65,2
64,3
65,4
65,4
65,6
60,2
36,1
66,2
58,4
58,3
23,7
32,4
66,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
66,1
65,2
29,3
66,3
66,2
55,2
35,1
65,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
66,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
66,2
47,4
49,3
66,3
54,4
57,3
58,5
64,1
66,2
59,6
66,4
65,5
62,3
66,2
64,3
66,4
65,4
66,6
60,2
36,1
67,2
58,4
58,3
23,7
32,4
67,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
13,4
67,1
65,2
29,3
67,3
67,2
55,2
35,1
67,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
66,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
44,6
46,4
67,2
47,4
49,3
66,3
54,4
57,3
58,5
64,1
67,2
59,6
66,4
65,5
62,3
67,2
64,3
67,4
67,4
67,6
67,6
60,2
36,1
68,2
58,4
58,3
23,7
32,4
68,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
68,4
68,1
68,2
29,3
68,3
67,2
55,2
35,1
68,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
68,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
68,6
46,4
68,2
47,4
49,3
68,3
54,4
57,3
58,5
64,1
68,2
59,6
66,4
65,5
62,3
68,2
64,3
68,4
68,4
68,6
67,6
60,2
36,1
69,2
58,4
58,3
23,7
32,4
69,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
69,4
69,1
69,2
29,3
69,3
67,2
55,2
35,1
68,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
69,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
69,6
46,4
69,2
47,4
49,3
69,3
54,4
57,3
58,5
64,1
69,2
59,6
66,4
65,5
62,3
69,2
64,3
69,4
69,4
68,6
67,6
69,4
60,2
36,1
70,2
58,4
58,3
23,7
32,4
70,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
70,4
70,1
70,2
29,3
70,3
67,2
55,2
35,1
68,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
70,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
70,6
46,4
70,2
47,4
49,3
70,3
54,4
57,3
58,5
64,1
70,2
59,6
66,4
65,5
62,3
70,2
64,3
70,4
70,4
68,6
67,6
70,4
60,2
36,1
71,2
58,4
58,3
23,7
32,4
71,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
71,4
71,1
71,2
29,3
71,3
67,2
55,2
35,1
68,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
71,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
71,6
46,4
71,2
47,4
49,3
71,3
71,1
54,4
57,3
58,5
64,1
70,2
59,6
66,4
65,5
62,3
71,2
64,3
71,4
71,4
68,6
67,6
71,4
70,4
60,2
36,1
72,2
58,4
58,3
23,7
32,4
72,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
72,4
72,1
72,2
29,3
72,3
67,2
55,2
35,1
68,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
72,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
72,6
46,4
71,2
47,4
49,3
72,3
71,1
54,4
57,3
58,5
64,1
70,2
59,6
66,4
65,5
62,3
72,2
64,3
72,4
72,4
68,6
67,6
72,4
70,4
72,4
72,5
60,2
36,1
73,2
58,4
73,3
23,7
32,4
73,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
73,4
73,1
73,2
29,3
73,3
67,2
55,2
35,1
68,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
73,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
73,6
46,4
71,2
47,4
49,3
73,3
71,1
54,4
57,3
58,5
64,1
70,2
59,6
66,4
65,5
62,3
72,2
64,3
73,4
73,4
68,6
67,6
73,4
70,4
72,4
73,5
60,2
36,1
74,2
58,4
74,3
23,7
32,4
74,6
16,6
19,6
15,4
14,4
16,6
12,6
17,4
22,4
74,4
74,1
74,2
29,3
74,3
67,2
55,2
35,1
68,1
62,1
19,4
62,1
27,2
24,6
54,4
31,4
29,4
30,4
74,1
27,4
33,4
29,8
32,6
46,6
47,2
50,4
37,4
38,7
40,4
44,6
52,5
54,6
51,4
48,6
74,6
46,4
71,2
47,4
49,3
74,3
71,1
54,4
57,3
58,5
64,1
70,2
59,6
66,4
65,5
62,3
72,2
64,3
74,4
74,4
68,6
67,6
74,4
70,4
72,4
73,5
60,2
36,1
75,2
58,4
75,3
23,7
32,4
74,6
16,6
